,code,name,nameshort
0,JFU,9F Inc,9F
1,ATNF,180 Life Sciences Corp,180 Life Sciences
2,FEAM,5E Advanced Materials Inc,5E Advanced Materials
3,BCOW,1895 Bancorp of Wisconsin Inc,1895 Bancorp of Wisconsin
4,XXII,22nd Century Group Inc,22nd Century Group
5,TURN,180 Degree Capital Corp,180 Degree Capital
6,TXG,10X Genomics Inc,10X Genomics
7,YI,111 Inc,111
8,ME,23andMe Holding Co.,23andMe Holding.
9,ETNB,89Bio Inc,89Bio
10,FLWS,1-800-Flowers.Com Inc,1-800-Flowers.Com
11,TSVT,2Seventy Bio Inc,2Seventy Bio
12,MMM,3M Co,3M
13,DIBS,1stdibs.Com Inc,1stdibs.Com
14,EGHT,8x8 Inc,8x8
15,DDD,3D Systems Corp,3D Systems
16,YQ,17 Education & Technology Group Inc,17 Education & Technology Group
17,TWOU,2U Inc,2U
18,SXTP,60 Degrees Pharmaceuticals Inc,60 Degrees Pharmaceuticals
19,MASS,908 Devices Inc.,908 Devices.
20,FDMT,4D Molecular Therapeutics Inc,4D Molecular Therapeutics
21,KRKR,36Kr Holdings Inc,36Kr Holdings
22,SRCE,1st Source Corp,1st Source
23,NNAG,99 Acquisition Group Inc,99 Acquisition Group
24,SCWO,374Water Inc,374Water
25,NNAGU,99 Acquisition Group Inc,99 Acquisition Group
26,AKBA,Akebia Therapeutics Inc,Akebia Therapeutics
27,AGEN,Agenus Inc,Agenus
28,BTOC,Armlogi Holding Corp,Armlogi Holding
29,AKA,AKA Brands Holding Corp,AKA Brands Holding
30,GMFI,Aetherium Acquisition Corp,Aetherium Acquisition
31,ABUS,Arbutus Biopharma Corp,Arbutus Biopharma
32,TEAM,Atlassian Corp,Atlassian
33,ACTG,Acacia Research Corp,Acacia Research
34,AUNA,Auna SA,Auna
35,ASRV,Ameriserv Financial Inc,Ameriserv Financial
36,APLE,Apple Hospitality REIT Inc,Apple Hospitality REIT
37,COLD,Americold Realty Trust Inc,Americold Realty Trust
38,AFYA,Afya Ltd,Afya
39,ACM,AECOM,AECOM
40,AISP,Airship AI Holdings Inc,Airship AI Holdings
41,AKR,Acadia Realty Trust,Acadia Realty Trust
42,APXI,APx Acquisition Corp I,APx Acquisition I
43,AFG,American Financial Group Inc,American Financial Group
44,MITT,AG Mortgage Investment Trust Inc,AG Mortgage Investment Trust
45,APOG,Apogee Enterprises Inc,Apogee Enterprises
46,ADTN,ADTRAN Holdings Inc,ADTRAN Holdings
47,LNT,Alliant Energy Corp,Alliant Energy
48,ATAT,Atour Lifestyle Holdings Ltd,Atour Lifestyle Holdings
49,ARR,ARMOUR Residential REIT Inc,ARMOUR Residential REIT
50,ACRV,Acrivon Therapeutics Inc,Acrivon Therapeutics
51,AACT.U,Ares Acquisition Corporation II,Ares Acquisitionoration II
52,ARYD,ARYA Sciences Acquisition Corp IV,ARYA Sciences Acquisition IV
53,APAM,Artisan Partners Asset Management Inc,Artisan Partners Asset Management
54,ASLE,AerSale Corp,AerSale
55,ALCO,Alico Inc,Alico
56,ARQ,Arq Inc,Arq
57,ALZN,Alzamend Neuro Inc,Alzamend Neuro
58,AMRN,Amarin Corporation PLC,Amarinoration
59,AWK,American Water Works Company Inc,American Water Worksmpany
60,ATMVU,AlphaVest Acquisition Corp,AlphaVest Acquisition
61,AVB,AvalonBay Communities Inc,AvalonBaymmunities
62,ASMB,Assembly Biosciences Inc,Assembly Biosciences
63,AWR,American States Water Co,American States Water
64,ANSCU,Agriculture & Natural Solutions Acquisition Corp,Agriculture & Natural Solutions Acquisition
65,ALRS,Alerus Financial Corp,Alerus Financial
66,AMH,American Homes 4 Rent,American Homes 4 Rent
67,AMBC,Ambac Financial Group Inc,Ambac Financial Group
68,ATHE,Alterity Therapeutics Ltd,Alterity Therapeutics
69,ALEX,Alexander & Baldwin Inc (Hawaii),Alexander & Baldwin (Hawaii)
70,ALCYU,Alchemy Investments Acquisition Corp 1,Alchemy Investments Acquisition 1
71,ATMC,Alphatime Acquisition Corp,Alphatime Acquisition
72,AROC,Archrock Inc,Archrock
73,ALAB,Astera Labs Inc,Astera Labs
74,MT,ArcelorMittal SA,ArcelorMittal
75,AZPN,Aspen Technology Inc,Aspen Technology
76,AON,Aon PLC,Aon
77,ALSA,Alpha Star Acquisition Corp,Alpha Star Acquisition
78,AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals
79,ATER,Aterian Inc,Aterian
80,AKRO,Akero Therapeutics Inc,Akero Therapeutics
81,ATXI,Avenue Therapeutics Inc,Avenue Therapeutics
82,ASRT,Assertio Holdings Inc,Assertio Holdings
83,AXP,American Express Co,American Express
84,APXIU,APx Acquisition Corp I,APx Acquisition I
85,AEG,Aegon Ltd,Aegon
86,ATEN,A10 Networks Inc,A10 Networks
87,AOGOU,Arogo Capital Acquisition Corp,Arogo Capital Acquisition
88,ALLG,Allego NV,Allego
89,ACHL,Achilles Therapeutics PLC,Achilles Therapeutics
90,AGIO,Agios Pharmaceuticals Inc,Agios Pharmaceuticals
91,AACIU,Armada Acquisition Corp I,Armada Acquisition I
92,APTO,Aptose Biosciences Inc,Aptose Biosciences
93,AEYE,AudioEye Inc,AudioEye
94,AQB,AquaBounty Technologies Inc,AquaBounty Technologies
95,ARBK,Argo Blockchain PLC,Argo Blockchain
96,AIP,Arteris Inc,Arteris
97,ACRS,Aclaris Therapeutics Inc,Aclaris Therapeutics
98,APDN,Applied DNA Sciences Inc,Applied DNA Sciences
99,AACG,ATA Creativity Global,ATA Creativity Global
100,COOT,Australian Oilseeds Holdings Ltd,Australian Oilseeds Holdings
101,LIFE,aTyr Pharma Inc,aTyr Pharma
102,RCEL,AVITA Medical Inc,AVITA Medical
103,AYI,Acuity Brands Inc,Acuity Brands
104,ABM,ABM Industries Inc,ABM Industries
105,AMPX,Amprius Technologies Inc,Amprius Technologies
106,AMWD,American Woodmark Corp,American Woodmark
107,ATMCU,Alphatime Acquisition Corp,Alphatime Acquisition
108,AVGR,Avinger Inc,Avinger
109,AKLI,Akili Inc,Akili
110,AEZS,Aeterna Zentaris Inc,Aeterna Zentaris
111,AUID,Authid Inc,Authid
112,ARDX,Ardelyx Inc,Ardelyx
113,ADEA,Adeia Inc,Adeia
114,AGI,Alamos Gold Inc,Alamos Gold
115,AHI,Advanced Health Intelligence Ltd,Advanced Health Intelligence
116,ARLP,Alliance Resource Partners LP,Alliance Resource Partners LP
117,AGBA,AGBA Group Holding Ltd,AGBA Group Holding
118,ASTR,Astra Space Inc,Astra Space
119,ACAC,Acri Capital Acquisition Corp,Acri Capital Acquisition
120,HOUS,Anywhere Real Estate Inc,Anywhere Real Estate
121,ALLE,Allegion PLC,Allegion
122,AGNC,AGNC Investment Corp,AGNC Investment
123,AZN,AstraZeneca PLC,AstraZeneca
124,ABEV,Ambev SA,Ambev
125,AERT,Aeries Technology Inc,Aeries Technology
126,AEAEU,AltEnergy Acquisition Corp,AltEnergy Acquisition
127,AMAL,Amalgamated Bank,Amalgamated Bank
128,ATLC,Atlanticus Holdings Corp,Atlanticus Holdings
129,ACLS,Axcelis Technologies Inc,Axcelis Technologies
130,ABTS,Abits Group Inc,Abits Group
131,ADP,Automatic Data Processing Inc,Automatic Data Processing
132,ASB,Associated Banc-Corp,Associated Banc-Corp
133,ADIL,Adial Pharmaceuticals Inc,Adial Pharmaceuticals
